814.5,779.5,841,777.5,789,841.5,834,781.5,815,801,788,807,786,815.5,810
810.5,850,815.5,780,847,825,821,825,823.5,920.5,846.5,849,778.5,942.5,817
810,840.5,795.5,801,828,809.5,818.5,854,798,703.5,829.5,850.5,834,822,820
788,836,793,782.5,872,810,872.5,802.5,861.5,,819,852,845.5,859.5,823.5
807.5,851.5,816.5,781,850,803.5,840.5,817.5,828,,806,883.5,809.5,866,878
784,675,803.5,793,825.5,818,851.5,802.5,864.5,,825.5,,,823.5,812
783,899.5,827.5,,854.5,821.5,826.5,795.5,839.5,,651,,,879,935.5
796.5,797.5,802.5,,928,829.5,862,808.5,,,806,,,910.5,828.5
772.5,614,818.5,,827.5,803,833.5,815.5,,,828,,,924.5,846
833.5,693.5,822.5,,866,839,861,827.5,,,825,,,848,867.5
798.5,838,831,,829,909,867,837,,,821.5,,,919,830.5
850.5,,845,,855.5,,879.5,858,,,845,,,,838.5
850.5,,819,,833.5,,850,,,,827.5,,,,
812,,803.5,,859.5,,855,,,,722.5,,,,
804.5,,806,,901,,876.5,,,,854,,,,
803.5,,841.5,,,,862.5,,,,,,,,
808,,836,,,,856.5,,,,,,,,
839,,834.5,,,,772,,,,,,,,
839.5,,708,,,,853.5,,,,,,,,
,,,,,,852,,,,,,,,
,,,,,,689.5,,,,,,,,
