707,698,736.5,749.5,719,725.5,772.5,716,699.5,771,766,730.5,724.5,778.5,811
720,708.5,809,698.5,720,712.5,749,783,775.5,768.5,749.5,739,756.5,752.5,776
734.5,719,788,711,749.5,744,781.5,714.5,712,733.5,750.5,720,751,817,724
784,711.5,699.5,704,731.5,706,744,729,703.5,738,723.5,757,805.5,755,749.5
731.5,786,757.5,706,810,786,754.5,731,710.5,784,864.5,724,719,784,752
743.5,727.5,690,713.5,726.5,788,757,758.5,715.5,773.5,763,731,741.5,757,795.5
712.5,721,776,732,745,768,760.5,702,769.5,763.5,736.5,737.5,749,772,753
782.5,716.5,771.5,720.5,711.5,730.5,767,727.5,748,737,725.5,726,720.5,771,743
657.5,731,725.5,728.5,796.5,700.5,773,731.5,754.5,718.5,798,720.5,727,750,753
655,750,721.5,699.5,739,735.5,769,707.5,796.5,705,789.5,720,724,754,752.5
772,744.5,737,720.5,718.5,721.5,732.5,740,719,746,732,764,766.5,762.5,646.5
743.5,651,686,755.5,808,731,687.5,793,719,732,664,756,701,773,679
734,802,791,735,734.5,724,790,748,738,781.5,805,756.5,743.5,768,769.5
734,808.5,774,729,796,754,779,738.5,664.5,750.5,776.5,769,751,739.5,782.5
738,801,763.5,723.5,757,758.5,786,734.5,756.5,773,774,763,757.5,774,768.5
791,750.5,745,723,742.5,745.5,791,716,762,730.5,752,748,787.5,741.5,786.5
742,751.5,771,654.5,741.5,767,766,727.5,748,756,750.5,766,811.5,729.5,772
751,754,762,758,766,730.5,801,758.5,745.5,721.5,730.5,756,740,740,731
685,760,720.5,745,804.5,707.5,758,754.5,795.5,754,848,777,734,769.5,743
711,670.5,687,746.5,820,773,747.5,754.5,,767.5,739.5,769,735,786,884.5
763,657,749,,769.5,751,774.5,760,,800,744,755,758.5,786,792.5
756.5,,752,,787,700,780.5,748,,754,664.5,764.5,776,786,785
753.5,,763.5,,795,,776.5,,,810,823,,759.5,753,758.5
702,,756.5,,767,,782,,,778.5,818.5,,770,767.5,766.5
,,756.5,,768.5,,782.5,,,780,789,,758.5,779,757.5
,,787.5,,784.5,,778,,,767,762.5,,,800,784.5
,,697.5,,785,,655,,,,783.5,,,771,761
,,,,830,,805,,,,788.5,,,,760.5
,,,,785.5,,777,,,,,,,,666.5
,,,,,,671,,,,,,,,768
,,,,,,,,,,,,,,648
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,749.9691689,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,50.0308311,,,,,,,,,,,,,
